qid;question;ocr_text;handwritten_text
VizWiz_train_000000000000.jpg;What's the name of this product?;['b', 'sil', 'leaves', '0.62', 'oz', '(170)'];['NET WT O. 62 02 ( 179)']
VizWiz_train_000000000001.jpg;Can you tell me what is in this can please?;[];['^TAKE Three 1^']
VizWiz_train_000000000002.jpg;Is this enchilada sauce or is this tomatoes?  Thank you.;[];['ESTI`', 'seamong']
VizWiz_train_000000000003.jpg;What is the captcha on this screenshot?;['...1.', 'at&t', 'submit', '4:49', 'pm', 'click', 'to', 'case', 'insensitive', 'click', 'to', 'stut', 'loads', 'updates'];['Click here to start download .', '1 3 6 N', 'Case Insensitive', 'Submit', 'Please enter the above code and hit submit .', "This is to make sure you're human ,* )", 'Click here to start download.']
VizWiz_train_000000000004.jpg;What is this item?;['bj', 'ofofne', 'powek', 'lfghtfng', 'olar', 'garden', 'light', 'brighten', 'up', 'your', 'patios,', 'decking,driveways', '&', 'flowerbeds', 'stainless', 'steel', 'construction', 'rechargeable', 'ixaa', '600mah', '600mah', 'battery', 'included', 'white', 'led', 'light', 'for', 'brighter', 'output', 'auto', 'sensor', 'turns', 'on', 'when', 'dark', 'easy', 'assembly', 'and', 'installation', 'no', 'wiring,', 'install', 'anywhere'];['OLAR GARDEN/ LIGHT*', 'OLAR GARDEN LIGHT', '{``lives up your pet`boy', '{`loweryEes', 'icchieve cable Jan GoouA`', 'SOQua` Fancy lidude !*', 'Advice Senses Ious @^ Mice DEL`', 'We Wake , legal aw`where']
VizWiz_train_000000000006.jpg;What is in this bottle?;['equgte', 'compare', 'to', 'citrus', 'listerine@', 'active', 'ingredients*', 'advance', 'aitiseptic', 'mouthrinse', 'e,tartar', 'protection', '•', 'kils"', 'erms', 'that', 'cause', '#æath,', 'plaque,', '&', 'thä?åum', 'disease', 'gingivitis', '•', 'fighgliartar', 'buildup', 'better', 'than', 'brushing', 'alone', '•', 'keeps', 'teeth', 'cleaner', 'and', 'brigh!er', 'citrus', 'l0011012fa'];['equate.', 'Compare', 'to Citrus', 'Listerine (R)', 'Active', 'Ingredients*', 'LOOT 1012 FA']
VizWiz_train_000000000007.jpg;This item.;['monitor', 'cleaning'];['MONITION', 'CLEANING KIT']
VizWiz_train_000000000013.jpg;What kind of drink is this?;[];['HOR', '\\HAVING AGNATHIAANY']
VizWiz_train_000000000016.jpg;How much money is on the table?;[];[]
VizWiz_train_000000000020.jpg;What is this game?;[];['NTSC UIC*', 'F: | |[ !']
VizWiz_train_000000000022.jpg;What is in this can?;[];['Value', 'light Red', 'Udney Beans', '`stops dares']
VizWiz_train_000000000023.jpg;What is this movie?;['rid'];[]
VizWiz_train_000000000024.jpg;Can you see the piece of mail and can you tell me who this mail is for?;[];[]
VizWiz_train_000000000026.jpg;What is this?;[];[]
VizWiz_train_000000000029.jpg;Can you tell what this says?;[];['ZIVEL']
VizWiz_train_000000000031.jpg;What does this box say?;[];['TOAD', '| raining']
VizWiz_train_000000000033.jpg;This is a medication bottle and I'd just like to know if there is a label and dosage information visible. Thank you.;[];[]
VizWiz_train_000000000035.jpg;Do you see anything on this screen?;[];[]
VizWiz_train_000000000039.jpg;What seasoning is this?;[];['FARMHOUSE', 'ORIGINALS', 'DRESSING & SEASONING MIX`', '_NET WT 0 . 9 0Z. ( 25.58)']
VizWiz_train_000000000040.jpg;What is on the bar code?;['forwarder', 'air', 'bil', 'ill]', 'ill', 'il', 'eq0271'];['EQ02713']
VizWiz_train_000000000041.jpg;What kind of jerky is this? ;['link', 's.'];[]
VizWiz_train_000000000043.jpg;What is this spice?;['o', 'oo'];['DO', '13 70 3 1 0 0 1 4 2', 'WEVik`', 'GINGER , CINNAMON, NUTMEG', '\\NET WT . 8 0Z', '\\SPICE', 'APPLEPIE', '=V PUREE AND']
VizWiz_train_000000000044.jpg;What is this, please?;['hers', 'rom', 'ein?'];['ght', 'chers', 'rom']
VizWiz_train_000000000049.jpg;What is this?;[];[]
VizWiz_train_000000000052.jpg;What is this?;['usda', 'choice', 'sl', 'rloin', '.stua', "l.tn11anc'l1)", 'with', 'up', 'to', '12%', 'of', 'a', ',soi.u', 'cttogc.•e', 'ot', 'steaks'];['IN', '15', 'USDA CHOICE BEE', 'SIRLOIN STEAKS', 'ENHANCED WITH UP TO 12% OF A SOLUTION', '\\UEDA', 'CHOICE', '4 - 6OZ. STEAKS']
VizWiz_train_000000000053.jpg;What is in this card and is it right side up or upside down? Thank you.;[];['NINE']
VizWiz_train_000000000055.jpg;What's the name of that, please?;[];[]
VizWiz_train_000000000058.jpg;Can you read the name on that syrup bottle;['amount', 'teneur', 'calories', 'i', 'calories', 'iz', 'fat', '/', 'lipides', 'o', 'g', 'saturated', '/', 'saturés', '+', 'trans', 'cholesterol', 'i', 'sodium', '/', 'so€turn', '15', 'carbohydrate', 'i', 'fibre', '/', 'fibres', '2', 'g', 'sugars', '/', 'sctes', '22', 'protein', '/', 'protéines', '1', 'vitamin', 'a', '/', 'vta—ine', 'a', 'vitamin', 'c', '/', 'vtani-é', 'c', 'calcium', 'i', 'caen', '!', 'fer'];['15 7 / Fer', 'Calcium / Caloum', 'Vitamin C / Vitamine C', 'Vitamin A / Vitamine A', 'O', 'Protein / Proteines is', 'Sugars / Sucres 229', 'Fibre / Fibres 29', 'Carbohydrate / Glucides', '19 6 1 50,0 0 SLS', 'Sodium / Sodium 15mg', 'Cholesterol / Cholesterol', '+ Trans / trans Do', 'Saturated / satures Do', 'Fat / Lipides 08', 'Calories / Calories 129', 'Tenour', 'Amount']
VizWiz_train_000000000059.jpg;What is this a picture of?;['0025'];[]
VizWiz_train_000000000060.jpg;What is this?;[];['{` MSImal', '^ apps ^']
VizWiz_train_000000000061.jpg;What type of chips are this?;['gardenojeat1tc.', 'blui', 'chips', 'corn', "'iort[tta", 'chips', 'made', 'organic', 'blue'];['BLUE', 'CHIPS', 'Corn Tortilla Chips']
VizWiz_train_000000000064.jpg;What flavor is this, please?;['u»pwvj'];['ELL`']
VizWiz_train_000000000069.jpg;What canned good is this? ;[];['Ingprior`']
VizWiz_train_000000000070.jpg;What does the display say?;[];[]
VizWiz_train_000000000073.jpg;What are these called?;[];['` Ty Lemon]', '( Menthol Lucking`']
VizWiz_train_000000000077.jpg;What kind of drink is it?;[];['View Sonic', 'Colby']
VizWiz_train_000000000079.jpg;Hi is there a Speedo logo on the side of the swimming hat?;[];['` DELETE']
VizWiz_train_000000000082.jpg;What is in this jar? What type of food?;[];[]
VizWiz_train_000000000093.jpg;What is this?;[];[]
VizWiz_train_000000000094.jpg;What is this bottle?;[];['4090', 'HEATBY QUINTINACION', '`NOXONBENE FACTORS\\']
VizWiz_train_000000000098.jpg;Hi, what can you see in this page that I have scanned with my phone camera?;['tgh', 'v', 'pearey', 'lull,', 'air', '19s2', 'del', '120.', 'to', 'refund', 'benefits', 'obtained.', 'de-smet', '(f', '253,', "'*here", 'the', 'repudiating', 'party', 'was', 'rds', 'the', 'purchase', 'of', 'a', 'solvent', 'extraction', 'ot', 'earnest.', 'delhi,', '(2006)', 's', 'scc', '603.', 'fie', 'contract', 'act', 'affords.', 'some', 'other', 'retredies', 'are', 'j.', '1963,', 'e.g.,', 'an', 'injunction', 'to', 'prevent', 'breath', "c'", 'an', 'action', 'for', 'specific', 'recovery', 'of', 'the', 'thing', 'is,', '(1909)', '34', 'bom', '192;', 'finday', 'muir', 'co', 'v', '_', '—y', '•covery', 'is', 'not', 'allowed', 'when', 'the', 'thing', 'in', 'injured', 'party', 'should', 'meet', 'his', 'requirement', 'by', 'te', 'bank', 'of', 'saurashtra', 'v', 'pnb,', '(2001)', '5', 'scc', '751:', 'air', 'of', 'securities', 'was', 'not', 'upheld.', 'there', 'was', 'the', 'yvad', 'already', 'paid', 'the', 'price', 'to', 'the', 'bank.', 'the', 'latter', 'easonable', 'amount', 'of', 'compensation.', 'gunv', '2', 'guj', 'cd', '(guj),', 'the', 'original', 'claim', 'available,', 'an', 'abrupt', 'shift', 'to', 'claim', 'for', 'f', 'loss', 'was', 'not', 'allowed.', 'c.', 'panduranga', 'rae', 'i', 'fic', 'reco', 'very', 'of', 'property', 'not', 'ordered', 'i', 'n', 'favozr', 'readiness', 'and', 'willingness', 'to', 'pay.', 'data', 'gam', 'ltd.', '(2006)', '126', 'di-t', '617', '(del).', 'writ', '•each', 'of', 'contract', 'gives', 'rise', 'to', 'a', 'number', 'of', 'f', 'of', 'darnage.', 'etc.', 'this', 'case', 'involved', 'guar', 'c', 'i', 'ty', 'm', 'unic', 'ipat', 'council', 'v', 'sa-', 'clairnant', 'has', 'breach', 'on', 'the', 'part', 'sub—standar', 'd', 'rnac', 'hi', 'nery', 'w', 'as', 'supp', 'lied', 'opinion', 'taken.', 'hence', 'evidence', 'of', 'any', 'the', 'djs', 'to-cd.', '441.', 'seller', 'resold', 'another,', 'the', 'first', 'v', 'j', '996)', '5', 'a', 'surn', 'rncant', 'in', 'the', 'fjjrn', "'e", 'had', 'erne', 'court', 't', 'ud.', 's', 'scw', 'sec', '•y.', 'm'];['\\NESSIs', 'and applied to building', 'principles as to damages slated', 'thorities .', 'be proved . chief becy . Blake of Gujarat ~ Kochan', "`'S SCC 705: 2003 AIR SCW 3041 21p .", '\\, the case could not stand . On an', '_ plaintiff had to prove loss , The court said that if the `', '\\Lid . ( 2003 )', '`es was not proved , I', '" sum of money meant for deposit in the film exhibitor s_ _^', 'bebar ~ Gopal babu Savolker, (1989, 5 BOLD CRI, BOOKiDE FIC_', 'for', '\\+ the seller resold to another , the first buyer not allowed to sus', 'Son of competent Authority but nothing was done by bill ``', 'land, 2 2005 ) A Min W~ as1, sale OF property, the buyer agreed That`', '12. But Even so the', 'best opinion taken , hence no evidence of any manufacturing Joke_', 'that sub- standard machinery was supplied to bizz {', 'be claimant has to show breach on the part of the other BODY', 'Lack guarantees . City Municipal Council ~ S. A LATEEF and ```', 'Leness Of damage , etc. This case involved Doultiparty angel', 'each of contract gives rise to a number of factual QUESTIONS', 'beam Lid , ( 2006) 126 DLT $17 ( Den), writ remedy is general', 'his readiness and willingness to pay. Data Access Inall .', 'ecific recovery of property not ordered in favour of a person w``', 'OF loss was not allowed . C. Panduranga Rao V Saga', 'hot available, an abrupt shift to claim for damages without ~`', 'DV) 2 Guj CD 1518 (Gun). the original claim was For``^_', 'reasonable amount of compensation . Gunvantlal Regional', 'had already paid the price to the bank. The latter was directed^', 'y of securities was not upheld . There was the alternative p__ _', 'lite Bank of Saurashira v PNB, ( 2001) 5 SCC 751; AIR ZOOINC', 'amazes for the difference in prices . This approach Has 200^', 'he injured party should meet his requirement by purchasing', 'recovery is not allowed when the thing in question is Dizzy', 'das , ( 1909 ) 34 Bom 192; Finday Muir & CO V RachaGOOVER', 'L.e ., an action for specific recovery of the thing promised wiz', '1963 . e. g ., an injunction to prevent breach or spend', 'the the Contract Act affords. Some other remedies are ation^', 'I of Delhi , ( 2006 ) 5 SCC 603.', 'towards the purchase of a solvent extraction plant Suc', 'Intee or earnest .', '$80 All 253 , where the repudiating party was allowed!', 'bound to refund benefits obtained . De_ Smer ( India) (1.', 'an Singh v Pearey Lal, AIR 1982 Del 120, where ``']
VizWiz_train_000000000099.jpg;Tell me what spice this is please.;['scea', 'ng'];[]
VizWiz_train_000000000100.jpg;What kind of snacks are these?;['ole', 'joy,', 'eact10>i', '.ranteed', 'ach', 'nutriooa', 'facts', 'servi,-gs', '[cans', 'fat', 'free', 'nolesterol', 'wool', 'a.'];['Nutrition Facts', 'Serving SHE^0^', "SENIngs For LO`n'!`", 'Calories 732\\', 'TotalFAT ?`', 'Trans Fat !`', 'Cholesterol Ding', 'Total Cartwhy^', 'Dietary Fiber ``', 'Pitom 12)`', 'Vitamin A `^ ^ yammer^ ^^', 'GRAIN', 'You or more']
VizWiz_train_000000000103.jpg;How much money is it?;[];['OOL', 'BY OOL', '21 1 14 56 18|']
VizWiz_train_000000000112.jpg;Can you tell me what this is?;[];['HEINZ', 'REST# 1869 ROT`', 'TOMATO', 'KETCHUP*', 'STVARIETIES', 'NET WT 14 02 (3978)', 'TOWN NOT #`']
VizWiz_train_000000000114.jpg;What kind of coffee is this?;[];["`` YOU'VE SREY", 'VAN HOUTTE*', 'HOUSE BLEND', '` NIGHT OG DARK , `` BRUN YO NOIR', 'MELANGE', 'MAISON', '( MRS )', '` UPSET`', '` POUR INFUSEURS KEURIG']
VizWiz_train_000000000115.jpg;Is this butter salted or unsalted?;['unsa', 'butt'];['\\RADE AA .', '``so maxdistres', 'BUTT', '\\FIRST OU', 'UNSAL', 'M/ MULTI!`']
VizWiz_train_000000000117.jpg;What is that?;[];['UNITED STATES', 'POSTAL SERVICE*']
