qid,IMG,QSN,ANS_TYP,TXT,OBJ,COL,CNT,OTH,ANS1,ANS2,ANS3,ANS4,ANS5,ANS6,ANS7,ANS8,ANS9,ANS10
100063007,COCO_train2014_000000100063.jpg,Are these trains moving?,yes/no,0,1,1,0,1,no,no,yes,no,yes,yes,no,no,no,yes
100140002,COCO_train2014_000000100140.jpg,Are the clouds visible?,yes/no,1,1,0,0,0,yes,no,no,no,yes,yes,yes,yes,no,no
100142000,COCO_train2014_000000100142.jpg,What number is on the shorts?,number,0,1,1,1,0,2,21,0,0,0,there is no number,10,no numbers shown,0,0
10037000,COCO_train2014_000000010037.jpg,Which food has the most calories in the picture?,other,0,1,0,0,0,donut,doughnut,doughnut,doughnut,donut,donut,donut,donut,on left,donut
100439005,COCO_train2014_000000100439.jpg,Are the man and woman on the couch dating?,yes/no,0,1,0,0,0,no,yes,not sure,no,no,no,no,no,no,yes
100506002,COCO_train2014_000000100506.jpg,Is this a highway?,yes/no,0,1,0,0,0,no,yes,no,no,yes,no,no,yes,no,yes
10058001,COCO_train2014_000000010058.jpg,A person with what kind of job would ride in this vehicle?,other,1,1,0,0,0,fireman,firefighter,firefighter,fireman,fireman,firefighter,firefighter,firefighter,firefighter,firefighter
10073000,COCO_train2014_000000010073.jpg,How many food is on the bottom plate?,number,0,1,0,1,0,2,2 slices,1,1,1,4,2,2,tree,1
100918001,COCO_train2014_000000100918.jpg,Is the third rail car empty?,yes/no,0,1,0,1,0,yes,yes,yes,no,no,yes,no,yes,yes,yes
101090001,COCO_train2014_000000101090.jpg,Is there a window?,yes/no,0,1,0,0,0,no,no,no,yes,yes,no,no,yes,no,no
10125010,COCO_train2014_000000010125.jpg,Was this picture taken in Texas?,yes/no,1,1,0,0,0,no,houston,no,no,no,yes,yes,yes,no,no
101362004,COCO_train2014_000000101362.jpg,Has the bun been toasted?,yes/no,0,1,1,0,0,yes,no,no,no,no,no,no,yes,yes,no
101390003,COCO_train2014_000000101390.jpg,Where are the fruits on sale placed?,other,0,1,1,0,0,upfront,boxes,street,on sidewalk,baskets,baskets,on sidewalk,on display,right,"in boxes, and baskets"
101503000,COCO_train2014_000000101503.jpg,How many minutes left to play?,number,1,1,0,0,0,3:18,3:18,3:18,3:18,3,3,3:18,3:18,3,3
101522002,COCO_train2014_000000101522.jpg,Is there celery?,yes/no,0,1,0,0,0,yes,yes,yes,no,yes,yes,yes,yes,no,no
101573002,COCO_train2014_000000101573.jpg,Do both girls have parts in their hair?,yes/no,0,1,0,0,0,yes,no,yes,no,yes,yes,yes,yes,yes,no
10161007,COCO_train2014_000000010161.jpg,What is the small green items?,other,0,1,1,0,0,cabbage,scallions,lettuce,salas,cabbage,lettuce,lettuce,cabbage,scallions,lettuce
101652001,COCO_train2014_000000101652.jpg,How many shoes are in the picture?,number,0,1,0,1,0,14,14,12,12,14,14,13,15,14,10
101684003,COCO_train2014_000000101684.jpg,Is this a baby?,yes/no,0,1,0,0,0,yes,no,no,yes,no,no,no,no,no,yes
101713009,COCO_train2014_000000101713.jpg,How many benches are pictured?,number,0,1,0,1,0,3,1,2,1,1,2,1,1,2,1
101837008,COCO_train2014_000000101837.jpg,Do you see a hose?,yes/no,0,1,0,0,0,no,no,yes,yes,yes,yes,yes,no,yes,yes
101906037,COCO_train2014_000000101906.jpg,What is the person doing in the water?,other,0,1,1,0,0,whitewater rafting,rafting,paddling,paddling,kayaking,kayaking,kayaking,kayaking,kayaking,kayaking
102163009,COCO_train2014_000000102163.jpg,What is behind the frosted glass?,other,0,1,1,0,0,outside,wall,fence,outside,outside,outside,outside,outdoors,yard,outdoors
102166000,COCO_train2014_000000102166.jpg,What is on top of the steeple?,other,0,1,0,0,0,tower,spire,weathervane,metal,lighting rods,lightning rod,tower,weather vain,none,pole
102166007,COCO_train2014_000000102166.jpg,Is this near a religious place?,yes/no,0,1,0,0,0,no,no,yes,yes,no,yes,yes,no,no,no
10243000,COCO_train2014_000000010243.jpg,How many doughnuts are there?,number,0,1,0,1,0,21,15,19,20-ish,12,20,20,12,17,15
10243009,COCO_train2014_000000010243.jpg,What brand doughnuts are these?,other,1,1,0,0,0,homemade,homemade,chocolate,homemade,homemade,unclear,homemade?,krispy kreme,homemade,krispy kreme
102432001,COCO_train2014_000000102432.jpg,Is he throwing or catching the Frisbee?,other,0,1,1,0,0,throwing,throwing,throwing,catching,catching,both,catching,throwing,throwing,catching
102662003,COCO_train2014_000000102662.jpg,Has the water in the vase been mixed with food coloring?,yes/no,0,1,1,0,0,yes,yes,yes,yes,yes,yes,no,no,yes,no
102739003,COCO_train2014_000000102739.jpg,Are there any windows open?,yes/no,0,1,0,0,0,yes,yes,no,yes,yes,yes,no,no,no,yes
102766004,COCO_train2014_000000102766.jpg,How many people are in the image?,number,0,1,1,1,0,5,3,3,5,5,4,4,4,2,5
102822000,COCO_train2014_000000102822.jpg,What game are these people playing?,other,0,1,0,0,0,tennis,tennis,badminton,badminton,tennis,1,badminton,tennis,badminton,tennis
103059005,COCO_train2014_000000103059.jpg,How many lights on the track light?,number,0,1,0,1,0,9,7,1,10,10,2 sets,8,0,8,8
103335003,COCO_train2014_000000103335.jpg,What number is on the shed?,number,1,1,0,1,0,80,0,80,80,1,80,80,80,no number,0
103356000,COCO_train2014_000000103356.jpg,Where is the bus going?,other,1,1,0,0,0,somewhere,down mountain,village,village,village,village,village transfer,village,village,to village
10343000,COCO_train2014_000000010343.jpg,Is this farmland?,yes/no,0,1,0,0,0,yes,no,yes,no,yes,yes,yes,no,yes,yes
103437000,COCO_train2014_000000103437.jpg,What color is the bowl?,other,0,1,1,0,0,"white, red",white red,white,white,white,white red,white and red,white,white,white
103447001,COCO_train2014_000000103447.jpg,Is the cat calm?,yes/no,0,1,1,0,0,no,no,yes,yes,no,yes,yes,yes,no,no
103498000,COCO_train2014_000000103498.jpg,What kind of tree is on the left?,other,0,1,1,0,0,maple,palm,maple,elm,oak,tree,oak,green,green,can't tell
103520001,COCO_train2014_000000103520.jpg,What is covering the elephant?,other,0,1,1,0,0,mud,mud,mud,dirt,mud,mud,dirt,dry skin,mud,mud
103746003,COCO_train2014_000000103746.jpg,How many purple flowers are there?,number,0,1,1,1,0,5,1 pot,5,lot,1,many,many,dozens,2,30
103843004,COCO_train2014_000000103843.jpg,When would you eat this?,other,0,1,0,0,0,lunch,lunch,lunch,dinner,yes,breakfast,lunch,dinner,dinner,lunch
103843020,COCO_train2014_000000103843.jpg,What is this type of food called?,other,0,1,1,0,0,wrap,wrap,burrito,wrap,burrito,mexican,burrito,wrap,burrito,burrito
103843026,COCO_train2014_000000103843.jpg,What category of food is this?,other,0,1,1,0,0,mexican,mexican,mexican,mexican,burrito,wrap,burrito,mexican,burrito,american
104081001,COCO_train2014_000000104081.jpg,Are all of the cows the same color?,yes/no,0,1,1,0,0,yes,no,no,no,yes,yes,no,yes,yes,no
104146006,COCO_train2014_000000104146.jpg,What is on the man's head?,other,0,1,0,0,0,afro,hair,hair,afro,hair,hair,hair,afro,hair,afro
104510016,COCO_train2014_000000104510.jpg,What kind of animal is the blue stuffed animal?,other,0,1,1,0,0,bear,teddy bear,brar,monkey,bear,bear,bear,bear,bear,bear
104661001,COCO_train2014_000000104661.jpg,How many people in the photo?,number,0,1,0,1,0,many,22,17,20,20,15,13,21,20,16
104825002,COCO_train2014_000000104825.jpg,Is this a desert?,yes/no,0,1,0,0,0,cake,yes,cake,yes,yes,no,yes,yes,yes,yes
10489001,COCO_train2014_000000010489.jpg,Where is the plant?,other,0,1,0,0,0,counter,counter,counter,on counter,window,counter,on counter,counter,below window,on counter
105055021,COCO_train2014_000000105055.jpg,Who took the picture?,other,0,1,0,0,0,person,bob,observer,friend,friend,friend,you,friend,photographer,someone else
105172030,COCO_train2014_000000105172.jpg,What is the elephant carrying?,other,0,1,1,0,0,food,nothing,nothing,nothing,food,nothing,nothing,no,nothing,food
105246004,COCO_train2014_000000105246.jpg,Is the scenic route to the right?,yes/no,1,1,0,0,0,yes,no,no,yes,no,no,yes,yes,no,yes
105532004,COCO_train2014_000000105532.jpg,How many men are in the line?,number,0,1,0,1,0,3,6,6,7,7,8,3,6,4,skiing
105594002,COCO_train2014_000000105594.jpg,Why are there dark lines on the bread?,other,0,1,1,0,0,from panini press,grill marks,grill marks,grilled,grill marks,grilled,grill marks,burnt bread,it was grilled,scorches
105640000,COCO_train2014_000000105640.jpg,Is the snow melting?,yes/no,0,1,0,0,0,no,yes,yes,yes,yes,yes,no,no,yes,no
10566004,COCO_train2014_000000010566.jpg,What color is the light?,other,0,1,1,0,0,red,red,yellow,red,yellow,red,red,orange,red,red
105865009,COCO_train2014_000000105865.jpg,What is the color of the fridge?,other,0,1,1,0,0,steel,black,black,black,white,silver,white,silver,black,white
106151000,COCO_train2014_000000106151.jpg,Did these sheep climb to the top of this mountain?,yes/no,0,1,1,0,0,yes,yes,yes,yes,yes,5,no,yes,no,yes
106241003,COCO_train2014_000000106241.jpg,Is the sky cloudy?,yes/no,0,1,1,0,1,yes,no,no,yes,yes,yes,maybe,yes,no,no
106387002,COCO_train2014_000000106387.jpg,Is this a man?,yes/no,0,1,1,0,0,no,no,yes,yes,no,no,no,yes,no,yes
106521001,COCO_train2014_000000106521.jpg,Are they about to go skiing?,yes/no,0,1,0,0,0,yes,yes,no,yes,no,yes,no,no,no,yes
106704005,COCO_train2014_000000106704.jpg,Is that bike seat soft?,yes/no,0,1,0,0,0,yes,no,yes,no,no,yes,yes,no,no,no
10702012,COCO_train2014_000000010702.jpg,What are the zebras standing on?,other,0,1,0,0,0,grass,grass,grass,grass,grass,ground,ground,grass,grass,earth
107109012,COCO_train2014_000000107109.jpg,What is on?,other,0,1,0,0,0,lamp,rain,lamp,lamp,light,light,lamp,lamp,lamp,lamp
107119000,COCO_train2014_000000107119.jpg,Which side is player 14 on?,other,1,1,1,0,0,kickers side,left,left,blue,left,opposing,blue team,blue team,blue team,left
107424006,COCO_train2014_000000107424.jpg,How many plants are there?,number,0,1,0,1,0,5,4,4,4,3,5,5,4,4,0
107745001,COCO_train2014_000000107745.jpg,Has it recently rained?,yes/no,0,1,0,0,0,yes,no,no,yes,yes,yes,yes,yes,no,yes
107747002,COCO_train2014_000000107747.jpg,What type of building is in the background?,other,0,1,1,0,0,clock tower,high rise,skyscraper,skyscraper,clock tower,office,tower,tall,clocktower,tower
107747015,COCO_train2014_000000107747.jpg,How many stories is the clock tower?,number,0,1,0,1,0,15,20,2 it appears,10,50,20,many,lot,20,lot
10784000,COCO_train2014_000000010784.jpg,Is this a supermarket chain?,yes/no,1,1,0,0,0,no,no,yes,no,yes,no,no,yes,no,yes
