qid,IMG,QSN,ANS_TYP,TXT,OBJ,COL,CNT,OTH,ANS1,ANS2,ANS3,ANS4,ANS5,ANS6,ANS7,ANS8,ANS9,ANS10
VizWiz_train_000000000000.jpg,VizWiz_train_000000000000.jpg,What's the name of this product?,other,1,1,0,0,0,basil leaves,basil leaves,basil,basil,basil leaves,basil leaves,basil leaves,basil leaves,basil leaves,basil
VizWiz_train_000000000001.jpg,VizWiz_train_000000000001.jpg,Can you tell me what is in this can please?,other,1,1,0,0,0,soda,coca cola,coca cola,unsuitable,unsuitable,coke 0,coca cola 0,coke 0,coca cola,coke
VizWiz_train_000000000002.jpg,VizWiz_train_000000000002.jpg,Is this enchilada sauce or is this tomatoes?  Thank you.,other,1,1,0,0,0,these tomatoes not enchilada sauce,tomatoes,tomatoes,tomatoes,tomatoes,crushed tomatoes,crushed tomatoes,tomatoes,tomatoes,tomatoes
VizWiz_train_000000000003.jpg,VizWiz_train_000000000003.jpg,What is the captcha on this screenshot?,other,1,1,0,0,0,t36m,t36m,t36m,t 3 6 m,t36m,t36m,t36m,t36m,t36m,t63m
VizWiz_train_000000000004.jpg,VizWiz_train_000000000004.jpg,What is this item?,other,1,1,0,0,0,solar garden light,solar garden light,solar light,solar garden light,solar garden light,garden light,solar garden light,solar garden light,solar garden light,solar garden light
VizWiz_train_000000000005.jpg,VizWiz_train_000000000005.jpg,What's this?,other,0,1,0,0,0,boots,shoes,shoes,shoes,boots,unanswerable,feet,feet,shoes,someones feet
VizWiz_train_000000000006.jpg,VizWiz_train_000000000006.jpg,What is in this bottle?,other,1,1,0,0,0,antiseptic mouthrinse,mouthrinse,mouthwash,mouthrinse,advanced antiseptic mouthwash tartar protection citrus flavor,antiseptic mouthrinse,mouthwash,mouthwash,mouthwash,mouthrinse
VizWiz_train_000000000007.jpg,VizWiz_train_000000000007.jpg,This item.,other,1,1,1,0,0,monitor cleaning kit,monitor cleaning kit,cleaning kit,monitor cleaning kit,monitor cleaning kit,monitor cleaner,monitor cleaning kit,monitor cleaning kit,monitor cleaning kit,monitor cleaning kit
VizWiz_train_000000000008.jpg,VizWiz_train_000000000008.jpg,What color do these look?,other,0,1,1,0,0,orange,orange,orange,pink,orange,orange,pink,orange,orange,orange
VizWiz_train_000000000009.jpg,VizWiz_train_000000000009.jpg,Surface look clean? Thank you.,yes/no,0,1,0,0,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
VizWiz_train_000000000010.jpg,VizWiz_train_000000000010.jpg,Is this.,other,0,1,1,0,0,android phone,cell phone,cell phone,cellphone,samsung phone,unanswerable,phone,smart phone,white smartphone,phone
VizWiz_train_000000000012.jpg,VizWiz_train_000000000012.jpg,what is this?,other,0,1,1,0,0,remote,remote control,jvc dvd vcr remote,remote,remote,remote control,remote,remote,tv remote,remote
VizWiz_train_000000000013.jpg,VizWiz_train_000000000013.jpg,What kind of drink is this?,other,1,1,1,0,0,soda,dr pepper,dr pepper,soda,dr pepper,dr pepper,energy drink,dr pepper,dr pepper,dr pepper
VizWiz_train_000000000015.jpg,VizWiz_train_000000000015.jpg,What color... what color is this skirt?,other,0,1,1,0,0,white,grey,white,white,white,white,white,white,white,white
VizWiz_train_000000000016.jpg,VizWiz_train_000000000016.jpg,How much money is on the table?,other,1,1,0,1,0,80 cents,80 cents,1,1 dollar,80 cents,80 cents,$1,4 coins on table,65 cents,$0.85
VizWiz_train_000000000017.jpg,VizWiz_train_000000000017.jpg,What is the name of this product? What is the name of this product?,unanswerable,0,1,0,0,0,gell air freshener,air freshener,unanswerable,scent beads,bath beads,unsuitable,room deodorizer,unanswerable,air freshener beads,unanswerable
VizWiz_train_000000000018.jpg,VizWiz_train_000000000018.jpg,What is this? ,other,0,1,0,0,0,hot sauce,conference room,classroom,meeting room,office,tv on stand,liquid in bottle orange no label,bottle,image office tv desk,bottle
VizWiz_train_000000000019.jpg,VizWiz_train_000000000019.jpg,Can I ask about anything or any information without taking any pictures?,yes/no,0,1,1,0,0,no,yes,no,no,no,unanswerable,unanswerable,unanswerable,yes,red
VizWiz_train_000000000020.jpg,VizWiz_train_000000000020.jpg,What is this game?,other,1,1,1,0,0,grand theft auto,grand theft auto vice city,grand theft auto vice city,grand theft auto,grand theft auto,grand theft auto,grand theft auto vice city,grand theft auto vice city,grand theft auto vice city,grand theft auto vice city
VizWiz_train_000000000022.jpg,VizWiz_train_000000000022.jpg,What is in this can?,other,1,1,1,0,0,light red kidney beans,light red kidney beans,kidney beans,kidney beans,red kidney beans,red kidney beans,light red kidney beans,light red kidney beans,kidney beans,light red kidney beans
VizWiz_train_000000000023.jpg,VizWiz_train_000000000023.jpg,What is this movie?,other,1,1,0,0,0,brides maids,brides maids,bridesmaids,bridesmaids,bridesmaids,brides maids,brides maids,brides maid,unsuitable,brides maids
VizWiz_train_000000000024.jpg,VizWiz_train_000000000024.jpg,Can you see the piece of mail and can you tell me who this mail is for?,yes/no,1,1,0,0,0,no,unsuitable,unsuitable,no,no,yes no,no,hand pants visible,no,cannot see
VizWiz_train_000000000025.jpg,VizWiz_train_000000000025.jpg,What is this a picture of?,other,0,1,1,0,0,dog,dog,dog,dog,dog,dog,dog,dog,black dog,dog
VizWiz_train_000000000026.jpg,VizWiz_train_000000000026.jpg,What is this?,unanswerable,1,1,0,0,0,unsuitable,sleep lotion,unsuitable,sleep,lotion,unsuitable,lotion,unsuitable,lotion,lotion
VizWiz_train_000000000029.jpg,VizWiz_train_000000000029.jpg,Can you tell what this says?,other,1,1,0,0,0,raiz el evento,raiz el evento,raiz el evento,yes,yes,raiz el evento root event,no,raiz eleventh,raiz el evento,no
VizWiz_train_000000000031.jpg,VizWiz_train_000000000031.jpg,What does this box say?,other,1,1,0,0,0,toad,toad training,toad training,toad training,toad training,toad training,toad training,toad training,toad training,toad training
VizWiz_train_000000000032.jpg,VizWiz_train_000000000032.jpg,What color furniture is that?  And is that nice table and chairs?,other,0,1,1,0,0,brown yes,brown,wood yes,wood,cherry,nice dark red brown cherry furniture matches fan,brown yes,dark wood yes,brown yes,dark brown wood yes
VizWiz_train_000000000033.jpg,VizWiz_train_000000000033.jpg,This is a medication bottle and I'd just like to know if there is a label and dosage information visible. Thank you.,yes/no,1,1,0,0,0,yes,no,unsuitable,yes,not visible,unsuitable,no,unanswerable,has label not sure about dosage,but image in blurry
VizWiz_train_000000000035.jpg,VizWiz_train_000000000035.jpg,Do you see anything on this screen?,yes/no,1,1,0,0,0,open me,openi,blue illegible letters,open,unanswerable,open,yes,open,yes,yes
VizWiz_train_000000000039.jpg,VizWiz_train_000000000039.jpg,What seasoning is this?,other,1,1,0,0,0,hidden valley farmhouse originals homestyle italian,homestyle italian,hidden valley homestyle italian,italian,italian,homestyle italian,homestyle italian,italian,homestyle italian,homestyle italian seasoning mix
VizWiz_train_000000000040.jpg,VizWiz_train_000000000040.jpg,What is on the bar code?,other,1,1,1,0,0,blue x,asterisk,blue star,eq02713,asterix,eq02713,eq02713,eq02713,eq02713,eq02713
VizWiz_train_000000000041.jpg,VizWiz_train_000000000041.jpg,What kind of jerky is this? ,other,1,1,0,0,0,jerky,jack links beef jerky,jack links,jack links,beef,jack links beef jerky,jacks links,jack links,beef,links
VizWiz_train_000000000043.jpg,VizWiz_train_000000000043.jpg,What is this spice?,other,1,1,1,0,0,apple pie spice,apple pie spice,apple pie spice,apple pie spice,apple pie,apple pie spice,apple pie,apple pie,apple pie,apple pie spice
VizWiz_train_000000000044.jpg,VizWiz_train_000000000044.jpg,"What is this, please?",other,1,1,0,0,0,sweet sour chicken,sweet sour chicken,sour chicken,tv dinner,sweet sour chicken,sweet sour chicken,sweet sour chicken,sweet sour chicken,sweet sout chicken,sweet sour chicken
VizWiz_train_000000000048.jpg,VizWiz_train_000000000048.jpg,What is this?,other,0,1,0,0,0,action figure,hulk toy,hulk,toy,hulk toy,hulk figurine,incredible hulk,hulk toy,hulk toy,hulk toy
VizWiz_train_000000000049.jpg,VizWiz_train_000000000049.jpg,What is this?,other,1,1,0,0,0,water,gr,water,water bottle,water,bottle,bottle water paper charger,water bottle,water bottle,water bottle
VizWiz_train_000000000052.jpg,VizWiz_train_000000000052.jpg,What is this?,other,1,1,0,0,0,usda choice beef sirloin steaks,sirloin steaks,beef sirloin steaks,steak,usda choice beef sirloin steaks,sirloin steaks,sirloin steaks,sirloin steak,steaks,box steaks
VizWiz_train_000000000053.jpg,VizWiz_train_000000000053.jpg,What is in this card and is it right side up or upside down? Thank you.,other,1,1,0,0,0,upside down,right side up,unanswerable,9 wands upside down,upside down,9 upside down,wands upside down,wands upside down,wands upside down,tarot card upside down
VizWiz_train_000000000054.jpg,VizWiz_train_000000000054.jpg,Who is this?,other,0,1,0,0,0,beevis,beavis,beavis,cartoon character,i dont know,unanswerable,beavis from beavis butthead,butthead,beavis,beavis
VizWiz_train_000000000055.jpg,VizWiz_train_000000000055.jpg,"What's the name of that, please?",unanswerable,1,1,0,0,0,riteaide,unanswerable,unknown,unanswerable,jar,unanswerable,unanswerable,jar,cream,jar
VizWiz_train_000000000056.jpg,VizWiz_train_000000000056.jpg,Please describe the pattern and color of this bag.,other,0,1,1,0,0,floral green,yellow grey brown color flower design,dark blue red florals gold outlines,multicolored floral pattern,flowered,brown paisley,floral brown blue red,flowers blue gold,blue floral print,blue floral
VizWiz_train_000000000058.jpg,VizWiz_train_000000000058.jpg,Can you read the name on that syrup bottle,yes/no,1,1,0,0,0,unanswerable,no,no,no,unsuitable,no,unsuitable,no,yes i can read,no
VizWiz_train_000000000059.jpg,VizWiz_train_000000000059.jpg,What is this a picture of?,other,1,1,0,0,0,pooh,winney pooh stuff doll,winnie pooh stuffed animal,winnie pooh,winnie pooh,winnie pooh,pooh bear,pooh bear plushie,winnie pooh,pooh bear
VizWiz_train_000000000060.jpg,VizWiz_train_000000000060.jpg,What is this?,unanswerable,1,1,0,0,0,food,packet,unanswerable,burritos,snack,unanswerable,food,purple bag,bag,unanswerable
VizWiz_train_000000000061.jpg,VizWiz_train_000000000061.jpg,What type of chips are this?,other,1,1,1,0,0,blue corn tortilla chips,blue corn tortilla chips,tortilla,blu tortilla,blue corn tortilla,blue corn tortilla chips,blue corn tortilla,blue tortilla chips,blue corn tortilla chips,blue corn
VizWiz_train_000000000063.jpg,VizWiz_train_000000000063.jpg,"what has this picture got in it, what kind of things? What kind of stuff?",other,0,1,0,0,0,books bookshelf pictures,books picture frames speaker shelf,unsuitable,shelves containing books misc objects,books photos speaker,shelves books pictures figurines knick knacks,shelf speaker some bookssome picture frames,books photos speaker,books,shelves ton stuff on them
