qid,adult,categories,descriptions,tags
VizWiz_train_000000000000.jpg,False,others_,a bottle of wine on a table,'bottle'  'indoor'  'table'  'sitting'  'wine'  'food'  'glass'  'plate'  'red'  'sandwich'  'laying'  'coffee'  'white'
VizWiz_train_000000000001.jpg,False,others_,a kitchen with a sink and a microwave,'indoor'  'cabinet'  'kitchen'  'small'  'refrigerator'  'counter'  'sitting'  'white'  'sink'  'microwave'  'wooden'  'brown'  'black'  'steel'  'stove'  'mirror'  'oven'  'holding'  'table'  'stainless'  'man'  'standing'  'room'
VizWiz_train_000000000002.jpg,False,others_,a can of soda,'bottle'  'sitting'  'table'  'orange'  'laying'  'cellphone'  'food'  'phone'  'empty'  'can'  'banana'  'black'  'fruit'
VizWiz_train_000000000003.jpg,False,others_,a screenshot of a cell phone,'screenshot'  'abstract'
VizWiz_train_000000000004.jpg,False,others_,None,'sitting'  'black'  'table'  'green'  'man'  'blue'
VizWiz_train_000000000005.jpg,False,others_,None,'indoor'  'looking'  'mirror'  'head'  'sitting'  'brown'  'standing'  'holding'  'man'  'cat'  'black'  'wearing'  'reflection'  'table'  'bear'  'hat'  'white'  'stuffed'  'perched'  'room'  'kitchen'
VizWiz_train_000000000006.jpg,False,others_,a close up of a bottle,'bottle'  'table'  'sitting'  'food'  'cellphone'  'phone'  'orange'  'beer'  'counter'  'restaurant'  'refrigerator'
VizWiz_train_000000000007.jpg,False,others_,a hand holding a cell phone,'person'  'indoor'  'hand'  'small'  'sitting'  'man'  'holding'  'black'  'white'  'table'  'phone'  'laying'  'remote'  'blue'
VizWiz_train_000000000008.jpg,False,abstract_,None,'indoor'  'table'  'food'  'sitting'  'small'  'plate'  'plastic'  'cake'  'topped'  'filled'  'made'  'pair'  'holding'  'blanket'  'sandwich'  'cheese'  'cut'  'white'  'laying'  'blue'  'bed'
VizWiz_train_000000000009.jpg,False,others_,a close up of a white wall,'indoor'  'small'  'white'  'table'  'room'  'remote'
VizWiz_train_000000000010.jpg,False,others_,a hand holding a cellphone,'person'  'indoor'  'electronics'  'cellphone'  'holding'  'phone'  'man'  'computer'  'hand'  'photo'  'table'  'monitor'  'white'  'woman'  'laying'  'playing'  'teeth'
VizWiz_train_000000000012.jpg,False,others_,a hand holding a remote control,'person'  'electronics'  'remote'  'calculator'  'hand'  'black'  'holding'  'game'  'control'  'man'  'television'  'sitting'  'dog'  'cellphone'  'large'  'playing'  'video'  'white'  'wii'
VizWiz_train_000000000013.jpg,False,others_,a person lying on a bed,'indoor'  'bed'  'laying'  'sitting'  'table'  'orange'  'lying'  'brown'  'white'  'covered'  'remote'  'shirt'
VizWiz_train_000000000015.jpg,False,abstract_,a close up of a white wall,'indoor'  'food'  'sitting'  'table'  'white'  'holding'  'sink'  'plate'  'airplane'
VizWiz_train_000000000016.jpg,False,abstract_nonphoto,None,'table'  'standing'  'man'  'clock'  'food'  'phone'
VizWiz_train_000000000017.jpg,False,None,a close up of a cake,'cake'  'plate'  'indoor'  'table'  'sitting'  'food'  'chocolate'  'topped'  'white'  'close'  'brown'  'baked'  'green'  'coffee'
VizWiz_train_000000000018.jpg,False,indoor_room,a desk with a computer on a table,'indoor'  'table'  'desk'  'sitting'  'computer'  'red'  'office'  'room'  'white'  'orange'  'laptop'  'keyboard'  'counter'  'various'  'refrigerator'  'kitchen'  'wine'  'holding'  'man'  'standing'
VizWiz_train_000000000019.jpg,False,abstract_,a red white and blue,'red'  'man'  'white'  'woman'  'table'  'court'  'player'  'holding'  'standing'  'ball'  'people'  'room'
VizWiz_train_000000000020.jpg,False,others_,a stack of flyers on a table,'indoor'  'sitting'  'photo'  'computer'  'table'  'laptop'  'luggage'  'suitcase'  'laying'  'room'  'man'  'white'
VizWiz_train_000000000022.jpg,False,drink_,None,'indoor'  'kitchen'  'food'  'sitting'  'table'  'stove'  'pot'  'cooking'  'pan'  'black'  'counter'  'bowl'  'computer'  'plate'  'oven'  'standing'  'man'  'white'  'blender'
VizWiz_train_000000000023.jpg,False,others_,a group of people holding a sign,'sign'  'man'  'large'  'people'  'red'  'group'  'food'  'woman'  'holding'  'street'  'standing'
VizWiz_train_000000000024.jpg,True,abstract_,a close up of a hand,'person'  'indoor'  'holding'  'man'  'hand'  'black'  'wearing'  'remote'  'woman'  'white'  'red'  'video'  'blue'
VizWiz_train_000000000025.jpg,False,abstract_,a close up of a dog,'indoor'  'dog'  'sitting'  'looking'  'cat'  'front'  'grey'  'gray'  'hat'  'standing'  'wearing'  'large'  'brown'  'black'  'white'  'room'  'table'  'close'  'living'  'kitchen'  'laying'  'man'
VizWiz_train_000000000026.jpg,False,abstract_rect,a close up of a screen of a cell phone,'cellphone'  'lit'  'looking'  'phone'  'black'  'screen'  'holding'  'sitting'  'small'  'food'  'light'  'table'  'orange'  'close'  'room'  'clock'
VizWiz_train_000000000029.jpg,False,others_,a cup on a counter,'indoor'  'sitting'  'table'  'cup'  'monitor'  'computer'  'food'  'black'  'keyboard'  'desk'  'counter'  'screen'  'clock'  'white'  'coffee'
VizWiz_train_000000000031.jpg,False,others_,a close up of a sign,'monitor'  'holding'  'sign'  'man'  'screen'  'white'  'phone'  'old'  'display'  'game'
VizWiz_train_000000000032.jpg,False,abstract_,a person sitting in front of a mirror posing for the camera,'indoor'  'table'  'sitting'  'room'  'living'  'wooden'  'mirror'  'view'  'furniture'  'large'  'white'  'computer'  'man'  'holding'  'clock'  'bed'
VizWiz_train_000000000033.jpg,False,others_,a close up of a bottle,'indoor'  'bottle'  'sitting'  'table'  'cup'  'toothbrush'  'small'  'close'  'food'  'white'  'desk'  'black'  'open'  'computer'  'brush'  'laptop'  'laying'  'keyboard'  'cat'  'sink'  'kitchen'
VizWiz_train_000000000035.jpg,False,abstract_,a screen shot of a computer,'monitor'  'screen'  'computer'  'television'  'holding'  'keyboard'  'sitting'  'white'  'large'  'black'  'table'  'blue'  'man'  'room'  'clock'  'cat'
VizWiz_train_000000000039.jpg,False,drink_can,a box of food,'photo'  'food'  'sitting'  'fruit'  'box'  'table'  'wooden'  'black'  'computer'  'salad'  'laying'  'board'  'holding'
VizWiz_train_000000000040.jpg,False,abstract_,a close up of a sign,'measure'  'small'  'sitting'  'white'  'close'  'red'  'food'  'cake'  'street'  'bear'  'sign'
VizWiz_train_000000000041.jpg,False,abstract_net,a close up of a sign,'sitting'  'food'  'table'  'sign'
VizWiz_train_000000000043.jpg,False,others_,a close up of a sign,'black'  'sitting'  'yellow'  'book'  'close'  'sign'  'red'  'white'  'food'  'blue'
VizWiz_train_000000000044.jpg,False,food_,a box of food,'food'  'table'  'sitting'  'box'  'paper'  'tray'  'eaten'  'pizza'  'black'  'different'  'hot'  'dog'  'laying'  'toppings'  'fries'  'sandwich'  'hotdog'
VizWiz_train_000000000048.jpg,False,others_,a small child sitting on the ground,'child'  'little'  'outdoor'  'green'  'small'  'toy'  'sitting'  'grass'  'boy'  'hydrant'  'young'  'cake'  'riding'  'playing'  'standing'  'fire'  'ball'  'field'  'white'
VizWiz_train_000000000049.jpg,False,abstract_,a bottle of water on a table,'indoor'  'table'  'bottle'  'sitting'  'holding'  'small'  'desk'  'white'  'phone'  'man'  'computer'  'counter'  'sink'  'monitor'  'laptop'  'food'  'water'  'wine'  'glass'  'mirror'  'woman'  'room'  'kitchen'  'refrigerator'  'laying'  'standing'  'bed'
VizWiz_train_000000000052.jpg,False,abstract_,a close up of a book,'indoor'  'sitting'  'book'  'table'  'white'  'old'  'laying'  'phone'  'plate'
VizWiz_train_000000000053.jpg,False,abstract_,a wooden table,'table'  'indoor'  'wooden'  'sitting'  'green'  'laying'  'suitcase'  'phone'  'clock'  'luggage'  'board'  'standing'  'oven'  'cat'  'kitchen'
VizWiz_train_000000000054.jpg,False,others_,a drawing of a face,'drawing'
VizWiz_train_000000000055.jpg,False,others_,a cup of coffee,'cup'  'coffee'  'sitting'  'table'  'front'  'orange'  'dark'  'drinking'  'glass'  'food'  'holding'  'mug'  'phone'  'cat'  'red'  'white'  'man'  'game'
VizWiz_train_000000000056.jpg,False,abstract_,None,'indoor'  'table'  'sitting'  'pair'  'covered'  'wooden'  'man'  'large'  'holding'  'white'  'cutting'  'cat'  'standing'  'laying'  'clock'  'group'  'plate'
VizWiz_train_000000000058.jpg,False,others_,a close up of a bottle,'bottle'  'indoor'  'sitting'  'book'  'food'  'table'  'laying'  'open'  'wine'  'phone'
VizWiz_train_000000000059.jpg,False,plant_leaves,a teddy bear,'indoor'  'teddy'  'bear'  'stuffed'  'sitting'  'brown'  'wearing'  'lying'  'bed'  'head'  'yellow'  'laying'  'orange'  'holding'  'black'  'large'  'red'  'computer'  'eyes'  'white'  'dog'  'hat'
VizWiz_train_000000000060.jpg,False,abstract_,a book on a bed,'indoor'  'sitting'  'table'  'book'  'bed'  'green'  'laying'  'shirt'  'white'  'cat'
VizWiz_train_000000000061.jpg,False,drink_can,a close up of a bottle,'indoor'  'bottle'  'sitting'  'table'  'food'  'laying'  'computer'  'man'  'sandwich'
VizWiz_train_000000000063.jpg,False,others_,a close up of a book shelf,'indoor'  'shelf'  'sitting'  'small'  'refrigerator'  'book'  'kitchen'  'room'  'door'  'table'  'computer'  'mirror'  'sink'  'desk'  'white'  'living'
VizWiz_train_000000000064.jpg,False,abstract_,a close up of a bowl,'indoor'  'sitting'  'table'  'food'  'book'  'small'  'bowl'  'orange'  'filled'  'black'  'fruit'  'close'  'holding'  'plate'  'oranges'  'phone'  'laying'  'white'
