qid;question;ocr_text;handwritten_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100140002;Are the clouds visible?;[];['WAY', 'AHH HHHHHHHH TIKZ`` !', 'MOM', 'ANO', '`ONve'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058001;A person with what kind of job would ride in this vehicle?;[];['DOD`', 'THIET`', 'I', 'EEEEEE', 'WWW`. STATIC. Org'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125010;Was this picture taken in Texas?;[];['PICKBILICA', 'LARRY`TE', '11 12', 'Com`ban`'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101503000;How many minutes left to play?;[];['LG`'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10243009;What brand doughnuts are these?;[];[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103335003;What number is on the shed?;['80'];['METHOW VALLEY*', '80'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103356000;Where is the bus going?;[];[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105246004;Is the scenic route to the right?;[];['SCENIC', 'DRIVE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107119000;Which side is player 14 on?;['cas'];['RTO\\ALBERTO', 'PROMOTORA CADE`', 'NA', 'VETE . YA`', 'SIDREF', 'UPQ VALLINLA_ MAQUINARIA``'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10784000;Is this a supermarket chain?;[];['9.9 *', 'BAG`', '` ads`', '\\MORLAN PEARLS', '`Suits', 'QUIMALIAN ZZA`', 'Can^'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107941009;What number is on the sign?;['winonestek'," 'new.'];[""70'_ WINCHESTER"""," ""IOT'S NEW MARKET""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108500014;Is this picture likely taken in an English- or non-English-speaking country?;[];['THI E``'," ""# # $ '{ } ]""", '~ RED`', 'THE STAIR LIVE STILL\\', 'TREE', 'B` MAND SHENG CHEERTHAT LID.`', 'Bornfort', 'HOURFE`', 'EL. 26.952.20.0 )_ 28.942373_', 'FAX : 26.9 508.85'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108500022;What is the company being advertise on the truck?;[];['THI E``'," ""# # $ '{ } ]""", '~ RED`', 'THE STAIR LIVE STILL\\', 'TREE', 'B` MAND SHENG CHEERTHAT LID.`', 'Bornfort', 'HOURFE`', 'EL. 26.952.20.0 )_ 28.942373_', 'FAX : 26.9 508.85'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109506009;Does this street look safe?;[];['ELIG^ ^ ^``', 'STREET', 'CLEANING', 'ZAM - 7AM', 'DURING', 'SNOW', 'EMERGENCY', 'NO', '200 0', 'may'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109783008;What time is it?;[];[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110962001;What is on the man's pizza?;[];[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111318001;What time is on the clock?;[];['\\9:8:0814'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111348016;What time is it?;[];[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112106002;What does the graffiti say?;[];['`core @ ajc. so'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112849003;What brand is this truck?;[];['StraBend ers!', '*\\4HGTV 3:30'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113326000;What word is shown at the bottom of the cake?;[];['18 .', 'L.HAPPY'," 'BIRTHDAY ""'", 'BY'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113338000;What time is it?;[];['24', '20'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114101007;What kind of truck is this?;['sovereign'];['\\mon thy', 'IVINT - UIT DELIIN', '\\DID LESS 030', 'SOVEREIGN', 'NO`ADS', '- 15:01 17) .'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114624002;Is this a normal sight in your city?;[];['On', 'SHINGA9\\', 'Enare', 'ZUG QUOT', 'rovote &', 'OHIOLAOUIHU!', 'MA ! OTMAP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11528003;Is the background clear?;['10,'];['in `` `^ ^_', '` TI THE IT TIL RO TID TID TID TID IO TIO TOO TIDY'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116783015;What does the truck say?;[];[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
