qid;question;keyPhrases;obj;txt;col;cnt;oth,,,,,
100063007;Are these trains moving?;['trains'];1;0;1;0;1,,,,,
100140002;Are the clouds visible?;['clouds visible'];1;1;0;0;0,,,,,
100142000;What number is on the shorts?;['number', 'shorts'];1;0;1;1;0,,,,
10037000;Which food has the most calories in the picture?;['calories', 'food', 'picture'];1;0;0;0;0,,,
100439005;Are the man and woman on the couch dating?;['woman', 'couch dating'];1;0;0;0;0,,,,
100506002;Is this a highway?;['highway'];1;0;0;0;0,,,,,
10058001;A person with what kind of job would ride in this vehicle?;['kind of job', 'person', 'vehicle'];1;1;0;0;0,,,
10073000;How many food is on the bottom plate?;['food', 'plate'];1;0;0;1;0,,,,
100918001;Is the third rail car empty?;['rail car'];1;0;0;1;0,,,,,
101090001;Is there a window?;['window'];1;0;0;0;0,,,,,
10125010;Was this picture taken in Texas?;['picture', 'Texas'];1;1;0;0;0,,,,
101362004;Has the bun been toasted?;['bun'];1;0;1;0;0,,,,,
101390003;Where are the fruits on sale placed?;['fruits', 'sale'];1;0;1;0;0,,,,
101503000;How many minutes left to play?;['minutes'];1;1;0;0;0,,,,,
101522002;Is there celery?;['celery'];1;0;0;0;0,,,,,
101573002;Do both girls have parts in their hair?;['girls', 'parts', 'hair'];1;0;0;0;0,,,
10161007;What is the small green items?;['small green items'];1;0;1;0;0,,,,,
101652001;How many shoes are in the picture?;['shoes', 'picture'];1;0;0;1;0,,,,
101684003;Is this a baby?;['baby'];1;0;0;0;0,,,,,
101713009;How many benches are pictured?;['benches'];1;0;0;1;0,,,,,
101837008;Do you see a hose?;['hose'];1;0;0;0;0,,,,,
101906037;What is the person doing in the water?;['person', 'water'];1;0;1;0;0,,,,
102163009;What is behind the frosted glass?;['frosted glass'];1;0;1;0;0,,,,,
102166000;What is on top of the steeple?;['steeple'];1;0;0;0;0,,,,,
102166007;Is this near a religious place?;['religious place'];1;0;0;0;0,,,,,
10243000;How many doughnuts are there?;['doughnuts'];1;0;0;1;0,,,,,
10243009;What brand doughnuts are these?;['brand doughnuts'];1;1;0;0;0,,,,,
102432001;Is he throwing or catching the Frisbee?;['Frisbee'];1;0;1;0;0,,,,,
102662003;Has the water in the vase been mixed with food coloring?;['vase', 'food coloring', 'water'];1;0;1;0;0,,,
102739003;Are there any windows open?;['windows open'];1;0;0;0;0,,,,,
102766004;How many people are in the image?;['people', 'image'];1;0;1;1;0,,,,
102822000;What game are these people playing?;['game', 'people'];1;0;0;0;0,,,,
103059005;How many lights on the track light?;['lights', 'track light'];1;0;0;1;0,,,,
103335003;What number is on the shed?;['number', 'shed'];1;1;0;1;0,,,,
103356000;Where is the bus going?;['bus'];1;1;0;0;0,,,,,
